slotId,deposit,burnRate,Adj_deposit,Adj_burnRate,owner,transactionHash,timestamp,gasUsed,gasPrice,ethSpent
37,1.00E+21,1.00E+11,1000,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'n\xd5P\xc8\x14\xecMR\xbf\xde\x8b\xbf\xfa;\x10\x9fi\x0cP\xec \x0f\x0e\x86%\x17\xcc3\xaf\xfa\x08j',1621274252,174409,1.42E+11,0.024766078
36,1.00E+21,1.00E+11,1000,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'\xdf\xbbp\xbe\x9e\x0b\xeeX!\xeb\xaa\x7fO\xeb\xa5\x8f\x8b\x99\x01r\xc5\xd4\xd7\xe6n\x82\xe6Vw\xc7\xf3@',1621274322,174409,1.41E+11,0.024591669
3,0,0,0,0,0xbfF18Ab4DB2F6eC31d2Fc807Bc5e0832B3335E54,b'\xd3\xaf\xc8\xd5\xe4h#D\xe0\x9d\x17\x16)V\xb3\xac\x86\x02\xc1\x80\x85\xd4\x84\x9a\xcb\xac\x12l\x06l\x90\xdf',1621274416,120331,1.49E+11,0.017929319
35,1.00E+21,1.00E+11,1000,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'\xa9(\xa8\xb0\xf9\xda\xcbB\xd5\x94\xf5\xfac\xbc\xae\xc9\xb4Z\xd3\xc8WU\xaf\xb5\x85V\xaa\x83\xae\xd7\xaeR',1621274416,174409,1.37E+11,0.023894033
3,6.82E+20,0,681.76,0,0xbfF18Ab4DB2F6eC31d2Fc807Bc5e0832B3335E54,b'^\x0c\xa7\x8cU\x7f\xf6\xeb\x82g\xca\xe9\x14\xe1oxM\xae\xc2\xb2\xd1\tVT\x00\xdb\x06\xcc\xc2\x9e\t\xc8',1621274481,202853,1.62E+11,0.032862186
32,7.23E+20,2.00E+12,723.23,0.2,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b""\x81\x11WuS+\x8a'nR\xb5\xfco\xd5\xfe\xed\xb3A\x18\x8c\xcf\xc6\x99W\x0e@\xb5\x00\x12\xe7\xa8\xe2""",1621274519,189421,1.80E+11,0.03409578
29,8.00E+19,1.00E+12,80,0.1,0xF512147180ebF2273636Eb2A8547424F90410D51,"b'5\xcf\x84\x06a\x0f\xc3\xa7Je\xd3\xc1\x99\xc2c\x84\xd4\x01C,R\x87\xee\xc6H\xed\xaf\x84\xc2\x93\x9b\xba'",1621274593,206509,1.57E+11,0.032421913
38,2.00E+20,10000000000,200,0,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,b'Ay\xae\x94\x87\xc6r\xec\x86I\xc5\x8fM\xf7\x8f\xdc\x94\xc9\t\x83\x0f\x8ak\x06m\xd5\xc0\xd2Q`\x9f\xbc',1621275159,173079,1.44E+11,0.024923376
12,2.50E+20,5.00E+12,250,0.5,0x26098C24cA52ae70FF173817E2285A7971c22139,b'\xee\x1a\xce\x91U\xa2d\xacK\xa4\x17\x15\xfef\xf6xcN\x93e\xf4\xb6\xa2!h5Y\xcc\xffI\xdf~',1621275172,174421,1.23E+11,0.021453783
30,7.00E+20,2.00E+11,700,0.02,0xE864166688e95618920e32619753E23175f189ce,b'bc\x03(*\xe3\xf6{\xf5\x98\xf8\x10\xb6\xfdv8Y\x95\xcf\xc0^\x99\x84\xa6\x90\x97\xa5~I\x88\xe4\xbf',1621275234,191509,1.41E+11,0.027002769
